variant,epoch,task,K,distance,stat,feature_space,D_style,Effective_Rank,num_embeddings,embedding_dim,num_samples
w_CGSD,50,bSSFP_to_LGE,8,cosine,mean,projector,0.1406717206441916,1.490200400352478,5848,16,731
w/o_CGSD,50,bSSFP_to_LGE,8,cosine,mean,projector,0.060703884417805234,1.2874488830566406,5848,16,731
w_CGSD,75,bSSFP_to_LGE,8,cosine,mean,projector,0.18331585543181764,1.39275324344635,5848,16,731
w/o_CGSD,75,bSSFP_to_LGE,8,cosine,mean,projector,0.128447925017079,1.3728896379470825,5848,16,731
w_CGSD,100,bSSFP_to_LGE,8,cosine,mean,projector,0.14972277008068383,1.4590129852294922,5848,16,731
w/o_CGSD,100,bSSFP_to_LGE,8,cosine,mean,projector,0.12713977857588418,1.378961205482483,5848,16,731
w_CGSD,125,bSSFP_to_LGE,8,cosine,mean,projector,0.10654496103932855,1.4983454942703247,5848,16,731
w/o_CGSD,125,bSSFP_to_LGE,8,cosine,mean,projector,0.047400826967936696,1.3561415672302246,5848,16,731
w_CGSD,150,bSSFP_to_LGE,8,cosine,mean,projector,0.1021627241544293,1.4717036485671997,5848,16,731
w/o_CGSD,150,bSSFP_to_LGE,8,cosine,mean,projector,0.03171313649856278,1.4183847904205322,5848,16,731
w_CGSD,175,bSSFP_to_LGE,8,cosine,mean,projector,0.09059156566124445,1.5902762413024902,5848,16,731
w/o_CGSD,175,bSSFP_to_LGE,8,cosine,mean,projector,0.08194931756536873,1.3671249151229858,5848,16,731
w_CGSD,200,bSSFP_to_LGE,8,cosine,mean,projector,0.10356283539501,1.4303838014602661,5848,16,731
w/o_CGSD,200,bSSFP_to_LGE,8,cosine,mean,projector,0.020259514369488415,1.409253478050232,5848,16,731
w_CGSD,225,bSSFP_to_LGE,8,cosine,mean,projector,0.08381038517901411,1.5163097381591797,5848,16,731
w/o_CGSD,225,bSSFP_to_LGE,8,cosine,mean,projector,0.0541705617072155,1.3580824136734009,5848,16,731
w_CGSD,250,bSSFP_to_LGE,8,cosine,mean,projector,0.0926381607123341,1.523343563079834,5848,16,731
w/o_CGSD,250,bSSFP_to_LGE,8,cosine,mean,projector,0.06649061585948503,1.351746678352356,5848,16,731
w_CGSD,275,bSSFP_to_LGE,8,cosine,mean,projector,0.08184248233461185,1.5066919326782227,5848,16,731
w/o_CGSD,275,bSSFP_to_LGE,8,cosine,mean,projector,0.03699085432348108,1.4073790311813354,5848,16,731
w_CGSD,300,bSSFP_to_LGE,8,cosine,mean,projector,0.09134909918304997,1.5202332735061646,5848,16,731
w/o_CGSD,300,bSSFP_to_LGE,8,cosine,mean,projector,0.11530485297725236,1.3633646965026855,5848,16,731
