
[49, 0.08610116690397263]
[50, 0.11119212210178375]
[51, 0.08474373072385788]
[52, 0.06193962320685387]
[53, 0.09794237464666367]
[54, 0.08179064095020294]
[55, 0.10762353986501694]
[56, 0.08279510587453842]
[57, 0.07842697948217392]
[58, 0.09394264221191406]
[59, 0.046682558953762054]
[60, 0.051871754229068756]
[61, 0.08475945144891739]
[62, 0.025395944714546204]
[63, 0.03728172555565834]
[64, 0.06247100979089737]
[65, 0.05681964382529259]
[66, 0.032405588775873184]
[67, 0.04122745990753174]
[68, 0.036184199154376984]
[69, 0.03579207882285118]
[70, 0.04744930565357208]
[71, 0.03212922438979149]
[72, 0.0321480892598629]
[73, 0.03894282132387161]
[74, 0.032210756093263626]
[75, 0.04381955787539482]
[76, 0.020112639293074608]
[77, 0.029383091256022453]
[78, 0.026977816596627235]
[79, 0.032050710171461105]
[80, 0.0317089669406414]
[81, 0.032267119735479355]
[82, 0.028170857578516006]
[83, 0.03265460953116417]
[84, 0.02770463190972805]
[85, 0.019919170066714287]
[86, 0.035210222005844116]
[87, 0.025262197479605675]
[88, 0.025988047942519188]
[89, 0.03866113722324371]
[90, 0.020166629925370216]
[91, 0.019876811653375626]
[92, 0.024457314983010292]
[93, 0.02442306838929653]
[94, 0.021178746595978737]
[95, 0.0193584393709898]
[96, 0.022735172882676125]
[97, 0.01971951127052307]
[98, 0.019367525354027748]
[99, 0.022741544991731644]
[100, 0.013823548331856728]
[101, 0.01625816524028778]
[102, 0.020683635026216507]
[103, 0.01932729221880436]
[104, 0.015070653520524502]
[105, 0.01844768598675728]
[106, 0.017664063721895218]
[107, 0.01933651976287365]
[108, 0.02060655690729618]
[109, 0.024883750826120377]
[110, 0.014003402553498745]
[111, 0.022922901436686516]
[112, 0.02412029169499874]
[113, 0.020938722416758537]
[114, 0.018431607633829117]
[115, 0.017784396186470985]
[116, 0.01284247636795044]
[117, 0.02005879580974579]
[118, 0.018773188814520836]
[119, 0.015616890974342823]
[120, 0.022072184830904007]
[121, 0.01589595153927803]
[122, 0.017323926091194153]
[123, 0.014891448430716991]
[124, 0.025024866685271263]
[125, 0.017379406839609146]
[126, 0.012182533740997314]
[127, 0.018085652962327003]
[128, 0.015526640228927135]
[129, 0.02247667871415615]
[130, 0.014807472005486488]
[131, 0.013986775651574135]
[132, 0.01962449960410595]
[133, 0.0225286316126585]
[134, 0.019010597839951515]
[135, 0.029067737981677055]
[136, 0.016494018957018852]
[137, 0.025954559445381165]
[138, 0.01653349958360195]
[139, 0.019320115447044373]
[140, 0.012897545471787453]
[141, 0.024667730554938316]
[142, 0.0179989542812109]
[143, 0.028324788436293602]
[144, 0.024355119094252586]
[145, 0.01485928613692522]
[146, 0.018972007557749748]
[147, 0.016020024195313454]
[148, 0.013830569572746754]
[149, 0.012483409605920315]
[150, 0.014681527391076088]
[151, 0.019607065245509148]
[152, 0.02610807493329048]
[153, 0.021182863041758537]
[154, 0.02283979021012783]
[155, 0.024569466710090637]
[156, 0.027415001764893532]
[157, 0.03426124528050423]
[158, 0.018389541655778885]
[159, 0.019359096884727478]
[160, 0.025057543069124222]
[161, 0.016731197014451027]
[162, 0.023400235921144485]
[163, 0.02410210110247135]
[164, 0.01440565288066864]
[165, 0.01667044125497341]
[166, 0.020529165863990784]
[167, 0.020924165844917297]
[168, 0.014149597845971584]
[169, 0.011956053785979748]
[170, 0.011796685867011547]
[171, 0.024141639471054077]
[172, 0.021397670730948448]
[173, 0.017386648803949356]
[174, 0.021049195900559425]
[175, 0.015090889297425747]
[176, 0.018974825739860535]
[177, 0.022680116817355156]
[178, 0.01735629141330719]
[179, 0.015112856402993202]
[180, 0.011704111471772194]
[181, 0.014087907038629055]
[182, 0.01444421149790287]
[183, 0.016895541921257973]
[184, 0.01078930776566267]
[185, 0.011478453874588013]
[186, 0.01415448822081089]
[187, 0.012525749392807484]
[188, 0.009448105469346046]
[189, 0.014259114861488342]
[190, 0.01630527712404728]
[191, 0.011704618111252785]
[192, 0.009403476491570473]
[193, 0.01358787715435028]
[194, 0.013993221335113049]
[195, 0.013734474778175354]
[196, 0.012155294418334961]
[197, 0.01196892000734806]
[198, 0.019445771351456642]
[199, 0.010638854466378689]
[200, 0.013689449988305569]
[201, 0.014153460040688515]
[202, 0.015271219424903393]
[203, 0.014557394199073315]
[204, 0.012355893850326538]
[205, 0.01157714705914259]
[206, 0.01240481436252594]
[207, 0.01641053520143032]
[208, 0.009700573049485683]
[209, 0.019966432824730873]
[210, 0.01409229077398777]
[211, 0.018364323303103447]
[212, 0.011497166939079762]
[213, 0.01126457192003727]
[214, 0.010294991545379162]
[215, 0.007863369770348072]
[216, 0.009369215928018093]
[217, 0.013526412658393383]
[218, 0.009063026867806911]
[219, 0.014109373092651367]
[220, 0.012931987643241882]
[221, 0.01118744071573019]
[222, 0.010143036022782326]
[223, 0.008818811737000942]
[224, 0.010156700387597084]
[225, 0.008373469114303589]
[226, 0.013465577736496925]
[227, 0.009543350897729397]
[228, 0.009804955683648586]
[229, 0.009644913487136364]
[230, 0.01144689042121172]
[231, 0.012456724420189857]
[232, 0.010250726714730263]
[233, 0.008406204171478748]
[234, 0.010847506113350391]
[235, 0.011515015736222267]
[236, 0.01001069601625204]
[237, 0.012984178029000759]
[238, 0.010851467028260231]
[239, 0.01481732726097107]
[240, 0.010620973072946072]
[241, 0.011342001147568226]
[242, 0.011881855316460133]
[243, 0.011943123303353786]
[244, 0.015741681680083275]
[245, 0.01238186378031969]
[246, 0.01711023412644863]
[247, 0.014951571822166443]
[248, 0.011533865705132484]
[249, 0.007019138429313898]
[250, 0.008884596638381481]
[251, 0.011271419934928417]
[252, 0.013281548395752907]
[253, 0.010650617070496082]
[254, 0.009816586971282959]
[255, 0.007190728094428778]
[256, 0.01495789922773838]
[257, 0.01648649387061596]
[258, 0.01001617033034563]
[259, 0.01399814523756504]
[260, 0.012036255560815334]
[261, 0.007735395338386297]
[262, 0.009040352888405323]
[263, 0.00989226158708334]
[264, 0.011080396361649036]
[265, 0.015735669061541557]
[266, 0.007475682999938726]
[267, 0.009988510981202126]
[268, 0.012475273571908474]
[269, 0.022573253139853477]
[270, 0.01517092902213335]
[271, 0.014851468615233898]
[272, 0.015518918633460999]
[273, 0.01577647402882576]
[274, 0.019320908933877945]
[275, 0.02156626246869564]
[276, 0.012250539846718311]
[277, 0.015441718511283398]
[278, 0.011061462573707104]
[279, 0.009318092837929726]
[280, 0.01617659628391266]
[281, 0.014099287800490856]
[282, 0.009885355830192566]
[283, 0.013819897547364235]
[284, 0.014963659457862377]
[285, 0.013323855586349964]
[286, 0.01929379813373089]
[287, 0.017605919390916824]
[288, 0.012295982800424099]
[289, 0.016564806923270226]
[290, 0.012674740515649319]
[291, 0.01233710628002882]
[292, 0.012581310234963894]
[293, 0.012365439906716347]
[294, 0.007648774888366461]
[295, 0.010417929850518703]
[296, 0.01149536669254303]
[297, 0.015454187989234924]
[298, 0.01198742724955082]
[299, 0.008733692578971386]
[300, 0.010183179751038551]
[301, 0.018445206806063652]
[302, 0.009183073416352272]
[303, 0.015871530398726463]
[304, 0.010314205661416054]
[305, 0.01248133834451437]
[306, 0.009102675132453442]
[307, 0.010268280282616615]
[308, 0.01519516110420227]
[309, 0.01068608183413744]
[310, 0.013193893246352673]
[311, 0.01226257998496294]
[312, 0.014946210198104382]
[313, 0.007686451077461243]
[314, 0.00967782735824585]
[315, 0.00785521324723959]
[316, 0.009510859847068787]
[317, 0.01753293350338936]
[318, 0.01665235124528408]
[319, 0.007543510291725397]
[320, 0.00884672999382019]
[321, 0.012840605340898037]
[322, 0.01322587113827467]
[323, 0.009620520286262035]
[324, 0.011006332002580166]
[325, 0.0069516003131866455]
[326, 0.010548966936767101]
[327, 0.011650726199150085]
[328, 0.009585338644683361]
[329, 0.008257932029664516]
[330, 0.00959231611341238]
[331, 0.014232379384338856]
[332, 0.006984916515648365]
[333, 0.010066351853311062]
[334, 0.007517582271248102]
[335, 0.01091928780078888]
[336, 0.01067220326513052]
[337, 0.01186668872833252]
[338, 0.009775090031325817]
[339, 0.012822195887565613]
[340, 0.008591475896537304]
[341, 0.008837959729135036]
[342, 0.007327151484787464]
[343, 0.009025550447404385]
[344, 0.010626993142068386]
[345, 0.008443409577012062]
[346, 0.010136044584214687]
[347, 0.009859979152679443]
[348, 0.007797896862030029]
[349, 0.008596169762313366]
[350, 0.009963455609977245]
[351, 0.006051904056221247]
[352, 0.008217493072152138]
[353, 0.009280008263885975]
[354, 0.00785966869443655]
[355, 0.008227012120187283]
[356, 0.01441483199596405]
[357, 0.008204981684684753]
[358, 0.010296282358467579]
[359, 0.015657728537917137]
