[1, 0.300973504781723]
[2, 0.31736117601394653]
[3, 0.35585257411003113]
[4, 0.37230151891708374]
[5, 0.3324926793575287]
[6, 0.37876009941101074]
[7, 0.39687347412109375]
[8, 0.42566511034965515]
[9, 0.40309926867485046]
[10, 0.5163259506225586]
[11, 0.3837578296661377]
[12, 0.505464494228363]
[13, 0.5538237690925598]
[14, 0.5084372758865356]
[15, 0.5257805585861206]
[16, 0.5689654350280762]
[17, 0.519923985004425]
[18, 0.7771880030632019]
[19, 0.7682663798332214]
[20, 0.743385910987854]
[21, 0.816539466381073]
[22, 0.7210461497306824]
[23, 0.7270504832267761]
[24, 0.7379788756370544]
[25, 0.9712786674499512]
[26, 0.685349702835083]
[27, 0.7433189749717712]
[28, 0.7289125323295593]
[29, 0.7834868431091309]
[30, 0.7485294342041016]
[31, 0.9693062901496887]
[32, 0.8026261329650879]
[33, 0.8408778309822083]
[34, 0.862583339214325]
[35, 0.8081550598144531]
[36, 0.7853398323059082]
[37, 0.9158792495727539]
[38, 0.8169531226158142]
[39, 0.8245965242385864]
[40, 0.9301424026489258]
[41, 0.8608936667442322]
[42, 0.8448423743247986]
[43, 0.9605175852775574]
[44, 0.8191419839859009]
[45, 0.7547605633735657]
[46, 1.0339027643203735]
[47, 1.110559344291687]
[48, 0.896695613861084]
[49, 0.7812957763671875]
[50, 1.0499563217163086]
[51, 0.6152430772781372]
[52, 0.8725336194038391]
[53, 1.0622414350509644]
[54, 0.9681272506713867]
[55, 0.8285490274429321]
[56, 1.0522035360336304]
[57, 0.8436662554740906]
[58, 0.8936718106269836]
[59, 0.850132942199707]
[60, 0.975285530090332]
[61, 0.7858781814575195]
[62, 0.5858738422393799]
[63, 0.7208722233772278]
[64, 0.9420022368431091]
[65, 1.0242804288864136]
[66, 0.5972650051116943]
[67, 1.0599311590194702]
[68, 0.9626787304878235]
[69, 0.9090954065322876]
[70, 1.1461989879608154]
[71, 1.0340274572372437]
[72, 0.8771953582763672]
[73, 1.1057895421981812]
[74, 0.9676772952079773]
[75, 0.9124479293823242]
[76, 0.7630199790000916]
[77, 0.6792640089988708]
[78, 0.924708366394043]
[79, 0.6498932838439941]
[80, 0.8790004849433899]
[81, 0.8369555473327637]
[82, 1.0462993383407593]
[83, 1.0161375999450684]
[84, 0.8793501257896423]
[85, 0.6857326626777649]
[86, 0.894025981426239]
[87, 0.7597742080688477]
[88, 0.8920708894729614]
[89, 0.8690749406814575]
[90, 0.7742483019828796]
[91, 0.6501863598823547]
[92, 0.7669745683670044]
[93, 1.0932525396347046]
[94, 0.9576875567436218]
[95, 0.7948622107505798]
[96, 0.9268426895141602]
[97, 0.8176223635673523]
[98, 1.032814860343933]
[99, 0.8979480862617493]
[100, 1.0737583637237549]
[101, 0.6457103490829468]
[102, 0.6630069613456726]
[103, 0.8183814883232117]
[104, 0.8915039300918579]
[105, 0.9982529878616333]
[106, 1.0826228857040405]
[107, 1.0394994020462036]
[108, 0.8619375228881836]
[109, 0.6842038035392761]
[110, 0.6655716300010681]
[111, 1.2306958436965942]
[112, 0.9433667063713074]
[113, 0.7490288019180298]
[114, 1.011941909790039]
[115, 1.033776879310608]
[116, 1.0759025812149048]
[117, 0.8441724181175232]
[118, 1.1002721786499023]
[119, 0.9455174803733826]
[120, 1.1094671487808228]
[121, 0.9250416159629822]
[122, 1.1353577375411987]
[123, 0.711796760559082]
[124, 0.9688038229942322]
[125, 0.9181999564170837]
[126, 0.6297915577888489]
[127, 1.2735790014266968]
[128, 0.9175158739089966]
[129, 0.9900674819946289]
[130, 0.6764689683914185]
[131, 1.059879183769226]
[132, 0.8235077261924744]
[133, 0.9187814593315125]
[134, 0.817432701587677]
[135, 1.2091315984725952]
[136, 1.114547848701477]
[137, 1.1139098405838013]
[138, 1.1038035154342651]
[139, 0.8572731018066406]
[140, 0.9295207858085632]
[141, 1.116949439048767]
[142, 0.8082891702651978]
[143, 0.7177314162254333]
[144, 1.152628779411316]
[145, 0.6786976456642151]
[146, 0.8601358532905579]
[147, 0.8261098861694336]
[148, 0.7113968729972839]
[149, 1.2198845148086548]
[150, 0.8276400566101074]
[151, 1.0095151662826538]
[152, 1.2458324432373047]
[153, 0.934186577796936]
[154, 0.9093565940856934]
[155, 0.8128469586372375]
[156, 0.9552422761917114]
[157, 1.262681245803833]
[158, 0.9810451865196228]
[159, 0.9826617240905762]
[160, 0.9917261004447937]
[161, 0.9284391403198242]
[162, 0.9188284277915955]
[163, 1.2769049406051636]
[164, 0.9602010846138]
[165, 1.1546066999435425]
[166, 1.3076435327529907]
[167, 1.2604073286056519]
[168, 0.9145799875259399]
[169, 0.8004091382026672]
[170, 0.700840413570404]
[171, 1.223479151725769]
[172, 1.2562085390090942]
[173, 0.8065071105957031]
[174, 1.4435932636260986]
[175, 0.9983698129653931]
[176, 1.3032861948013306]
[177, 1.2034177780151367]
[178, 0.9336080551147461]
[179, 0.8781237006187439]
[180, 0.798876941204071]
[181, 1.243155837059021]
[182, 0.7197672724723816]
[183, 1.1463884115219116]
[184, 0.8583139777183533]
[185, 1.1396163702011108]
[186, 0.8044808506965637]
[187, 1.247719645500183]
[188, 0.7020925879478455]
[189, 1.1470497846603394]
[190, 0.9184099435806274]
[191, 1.1699280738830566]
[192, 0.8937516212463379]
[193, 1.197561502456665]
[194, 1.0558550357818604]
[195, 0.911271870136261]
[196, 1.042087435722351]
[197, 1.2547962665557861]
[198, 1.1736170053482056]
[199, 0.8772198557853699]
[200, 1.324471116065979]
[201, 1.118193507194519]
[202, 1.079527497291565]
[203, 1.0854824781417847]
[204, 0.9139464497566223]
[205, 0.8613777160644531]
[206, 1.1054285764694214]
[207, 1.1919046640396118]
[208, 0.8303881883621216]
[209, 0.7730968594551086]
[210, 1.180737853050232]
[211, 0.9001235961914062]
[212, 0.8464087843894958]
[213, 0.886304497718811]
[214, 1.1108516454696655]
[215, 0.9302396774291992]
[216, 0.9474690556526184]
[217, 0.986273467540741]
[218, 1.1502324342727661]
[219, 1.075419306755066]
[220, 0.9202253222465515]
[221, 1.0716373920440674]
[222, 0.7643751502037048]
[223, 0.9432610869407654]
[224, 1.0071666240692139]
[225, 0.9465040564537048]
[226, 1.3699959516525269]
[227, 1.0648443698883057]
[228, 1.1242927312850952]
[229, 1.0874996185302734]
[230, 1.105862021446228]
[231, 0.9885274171829224]
[232, 1.026992678642273]
[233, 1.2293034791946411]
[234, 0.8826941847801208]
[235, 1.34469735622406]
[236, 1.4248179197311401]
[237, 1.006950855255127]
[238, 1.4314346313476562]
[239, 1.1612485647201538]
[240, 1.1472151279449463]
[241, 1.2103599309921265]
[242, 1.1295289993286133]
[243, 0.9504030346870422]
[244, 1.1822896003723145]
[245, 1.1511807441711426]
[246, 1.0367424488067627]
[247, 1.1899946928024292]
[248, 0.7284590601921082]
[249, 0.7662578225135803]
[250, 0.9861599206924438]
[251, 0.9157466292381287]
[252, 1.0131405591964722]
[253, 1.0424355268478394]
[254, 0.8403224349021912]
[255, 1.0112683773040771]
[256, 0.9344989657402039]
[257, 1.137825608253479]
[258, 0.835483729839325]
[259, 1.1528959274291992]
[260, 1.0433224439620972]
[261, 0.881809651851654]
[262, 0.7275109887123108]
[263, 0.9062486886978149]
[264, 1.284911870956421]
[265, 1.1417945623397827]
[266, 0.9439868927001953]
[267, 1.0161164999008179]
[268, 1.0530353784561157]
[269, 1.1898704767227173]
[270, 1.2699815034866333]
[271, 1.1110566854476929]
[272, 0.8350648880004883]
[273, 1.0624760389328003]
[274, 1.339630126953125]
[275, 1.127615213394165]
[276, 0.7817126512527466]
[277, 1.1837271451950073]
[278, 1.1554025411605835]
[279, 1.1579840183258057]
[280, 0.9590698480606079]
[281, 1.090740442276001]
[282, 0.9575578570365906]
[283, 0.9337143301963806]
[284, 0.8476381301879883]
[285, 1.178328514099121]
[286, 1.1643096208572388]
[287, 1.391951322555542]
[288, 0.9661924242973328]
[289, 1.323560118675232]
[290, 0.9148164987564087]
[291, 1.1659197807312012]
[292, 1.137397289276123]
[293, 1.057390570640564]
[294, 0.9650617837905884]
[295, 1.0594080686569214]
[296, 1.0171416997909546]
[297, 1.0443089008331299]
[298, 1.0149122476577759]
[299, 0.7933202981948853]
[300, 0.9718602299690247]
[301, 1.4560078382492065]
[302, 0.955532968044281]
[303, 0.971932053565979]
[304, 1.1555155515670776]
[305, 1.029079794883728]
[306, 1.0992344617843628]
[307, 0.8547148108482361]
[308, 1.1799081563949585]
[309, 0.7134388089179993]
[310, 1.2513716220855713]
[311, 1.0632753372192383]
[312, 1.0648868083953857]
[313, 1.0086344480514526]
[314, 1.0569822788238525]
[315, 0.8741860389709473]
[316, 0.9121589660644531]
[317, 1.2644907236099243]
[318, 0.9616360068321228]
[319, 0.883671224117279]
[320, 1.1228989362716675]
[321, 1.009376883506775]
[322, 1.0111671686172485]
