method,epoch,iter,mean_dstab_core,mean_dstab_boundary,mean_dstab_background,topk_core_ratio,topk_boundary_ratio,d_str,d_sty,d_sty_minus_d_str
wo_cgsd,11,200,0.436294,0.459716,0.402703,0.046512,0.004651,nan,nan,nan
wo_cgsd,22,400,0.389551,0.413224,0.326859,0.036047,0.003488,nan,nan,nan
wo_cgsd,32,600,0.381912,0.384354,0.304544,0.040698,0.002326,nan,nan,nan
wo_cgsd,43,800,0.294824,0.285914,0.278974,0.068605,0.005814,nan,nan,nan
wo_cgsd,53,1000,0.286015,0.291593,0.283482,0.05814,0.010465,nan,nan,nan
wo_cgsd,64,1200,0.220521,0.209275,0.225239,0.045349,0.011628,nan,nan,nan
wo_cgsd,74,1400,0.163134,0.116795,0.157141,0.063953,0.018605,nan,nan,nan
wo_cgsd,85,1600,0.15794,0.139226,0.119324,0.048837,0.011628,nan,nan,nan
wo_cgsd,95,1800,0.129967,0.102694,0.11287,0.077907,0.017442,nan,nan,nan
wo_cgsd,106,2000,0.0833,0.066577,0.098645,0.082558,0.017442,nan,nan,nan
wo_cgsd,116,2200,0.081266,0.052506,0.070624,0.082558,0.023256,nan,nan,nan
wo_cgsd,127,2400,0.059819,0.057188,0.089301,0.083721,0.013953,nan,nan,nan
wo_cgsd,137,2600,0.09545,0.079492,0.061812,0.063953,0.012791,nan,nan,nan
wo_cgsd,148,2800,0.061785,0.062619,0.07212,0.062791,0.011628,nan,nan,nan
wo_cgsd,158,3000,0.077599,0.086171,0.078188,0.095349,0.023256,nan,nan,nan
wo_cgsd,169,3200,0.067864,0.05,0.057669,0.060465,0.015116,nan,nan,nan
wo_cgsd,179,3400,0.065286,0.067728,0.05942,0.077907,0.010465,nan,nan,nan
wo_cgsd,190,3600,0.038945,0.05341,0.058615,0.062791,0.010465,nan,nan,nan
wo_cgsd,200,3800,0.076212,0.051862,0.036367,0.068605,0.012791,nan,nan,nan
wo_cgsd,211,4000,0.046716,0.035101,0.040472,0.063953,0.012791,nan,nan,nan
wo_cgsd,222,4200,0.060855,0.047113,0.041995,0.061628,0.00814,nan,nan,nan
wo_cgsd,232,4400,0.072722,0.055189,0.039468,0.05,0.012791,nan,nan,nan
wo_cgsd,243,4600,0.038426,0.031039,0.046309,0.048837,0.013953,nan,nan,nan
wo_cgsd,253,4800,0.040875,0.049941,0.048401,0.056977,0.017442,nan,nan,nan
wo_cgsd,264,5000,0.061365,0.022632,0.028825,0.075581,0.026744,nan,nan,nan
wo_cgsd,274,5200,0.054361,0.021388,0.037804,0.059302,0.017442,nan,nan,nan
wo_cgsd,285,5400,0.065852,0.035386,0.031077,0.076744,0.024419,nan,nan,nan
wo_cgsd,295,5600,0.058666,0.029241,0.027515,0.05814,0.018605,nan,nan,nan
